131002241224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.00598154_0.0751484,0.0258725_2.41635e-05_0.00468595_1.4843e-16,0.00415136_0.00176147_0.314217_0.383058,0.437579,0.831528,1.0_0.999975,1.0_0.999982,0.760265,0.00271863,0.129778,0.00598154,0.0077056,0.00247649,0.00117985_0.000604932_2.63914e-11,0.00318817,,,,,0.00131681_0.00176147_1.85438e-10,0.186182,,0.00271863_0.000124323,0.00598154,0.06142_6.1288e-08,0.00673225_0.000353137_8.0302e-11,0.00449308,0.00449308,0.00271863_0.000403266,0.00271863,0.00598154_0.00023633,0.00338373,,,0.0816808_8.48195e-09,,0.102682_0.0466639_0.149862,,0.469543_0.3287_0.641787,,0.0816808,0.353363_2.25045e-05,0.0225706_6.1288e-08_0.313846,0.0440759_1.04678e-08,,0.000728245_0.000564412,,,0.0568543,0.00538436,0.00673225_0.00144756,,0.00598154,,,0.00145198_0.000706744,0.00489763_0.0466639,,0.311739_0.408412_0.122005,0.00598154,,0.770891,,,1.0_0.999973,1.0_0.999973_0.964664,0.907914,,,0.00195642_0.000706744_1.85438e-10_0.0149584,,0.00538436,0.00301432_0.000706744,0.00538436_0.000706744_2.04438e-10,,0.00338373,0.0734649,0.285686_0.396165_0.288112_0.64396,0.437579_0.042046,0.00538436_0.000174283,0.0077056,,0.00202717_0.00176147,0.00259183_0.00176147_2.94752e-10_0.232047_1.14255e-08,0.00538436,,0.115588_0.409495,0.808277_0.3287_0.641787,,,0.00449308_0.000207826,0.00538436,,,0.00157337,0.00259183,0.00449308,
0.0668595_5.45154e-08_0.152096,,0.00902011_8.29273e-05,0.00673225,0.0002488_0.00144756,0.514009,0.934254,0.938564_1.0,1.0_0.999973_0.925933,0.831528,,0.00538436_0.00176147_0.0707058,0.06142_0.288178,0.00318817_0.0466639_4.90894e-08_0.0519652,,,0.00271863,,0.00538436,0.0440759_6.1288e-08,,0.00153068,0.0568543,,0.00489763_0.00176147_2.04438e-10,0.00338373_0.000706744_1.69652e-10,0.00171723_0.000651827,0.00598154_0.000651827_2.04438e-10,,0.0417757_4.46448e-08_0.0889258,0.00338373,0.00157337,,0.00489763,0.00598154,0.437579_0.0568543,0.00489763_0.000651827_0.122005,0.00489763,0.088671,0.00538436,0.645546_0.317316_0.657234,0.591653,0.265942_2.84089e-05,,,,0.00538436_0.000771955,0.00489763,0.00489763_0.000706744_1.12171e-10,,0.00902011,0.00673225,0.0728144_5.24479e-06,0.00538436_0.00144756,0.765351,0.00489763,0.0524026_0.0366107,0.00598154_0.000706744,,0.0834025_0.134796,0.00449308_0.000850687,0.00285872,,,,1,1.0_0.999994,1.0_0.999973,1.0_0.672145,0.0922216_6.1288e-08,0.00538436_0.000706744_2.04438e-10,,0.00237112,,0.00489763_0.0440759,0.00489763_0.00176147,0.000631992,0.00598154,,,0.0529618_0.264765_0.106667_9.55468e-06_0.000282638,,0.00673225_0.000706744,0.00113279,0.00598154,0.00598154,,0.06142_0.133984,,0.581363_0.146776,0.00902011_0.143409,0.0568543,0.00598154,0.00538436,0.00489763,,0.00489763,0.00489763,,0.00489763
0.00538436,0.00902011_0.000771955,,0.00598154,,,0.458225_0.578889_0.816328,,0.989814_0.663992,0.892214_0.484377,,,0.00598154,0.00489763_7.91707e-05,0.00598154,0.00673225,0.00489763,0.00538436_0.000771955,0.00673225_0.00176147_2.94752e-10_0.0491988,,0.00157337,0.00538436,0.00489763_0.000604932_0.314217_0.04011,0.00598154_0.000250072,0.00673225,0.00538436,,,,,0.00449308_0.000604932_1.44936e-10,0.00237112_0.000385028_2.27739e-10,0.00489763_0.000127984,0.00227448_0.000850687,0.00149028_0.000403266,0.253716_2.84089e-05_0.0762326,,0.00598154_0.000947682,,0.0922216,,0.697894_0.187189,0.00285872_0.000706744_2.27739e-10_0.134935,0.00673225,,0.00538436_0.000292711,,,0.0378619,0.0077056_0.00144756,0.00145198_0.000651827,,,0.00538436,8.54122e-13_2.41635e-05_0.0711512,0.00489763,0.06142,,0.00538436,,,0.00489763,0.06142_0.189969,0.922611,1.0_0.999971,,1.0_0.999948,1.0_0.999973,0.897542_1.0,0.666282,,0.00449308,0.00538436,0.00538436,0.00449308_0.000706744,0.00259183,0.00902011,0.00489763_0.000850687,0.00117985_0.0568543,,,0.00538436_0.00031419,,,0.00598154,0.00538436,0.00489763_0.000292711,0.0816808_3.07272e-08,,0.590633,0.495455,,0.0077056_0.000850687,0.00489763_0.000706744,0.000846752_0.00018957,,0.0077056_0.00144756,0.00489763,0.00598154,
0.00902011_0.00144756,,0.00210332_0.000706744,0.00489763_0.000706744_2.04438e-10_0.0449879,0.685322,,0.657938,1,1.0_0.999984,0.655413,,,0.00598154,0.00385878,0.00237112,0.0077056,,,,0.0077056_0.000706744_2.04438e-10,0.00489763_0.000353137,0.00237112_0.000604932,0.0668595,,,,0.0417757_0.0646743,0.0077056_0.00144756,0.00598154,,0.00489763,,0.00538436_0.00018957_4.63227e-11,0.00195642_0.000368385,0.06142_6.1288e-08,,0.06142_2.89231e-08_0.0969946,,,0.0717786_4.47525e-05_0.00499539_0.400709,,0.733336_0.434859_0.156991,0.321774,0.391224_0.0466639,0.00538436,,0.00598154,,0.0668595,0.00489763,0.00161853,0.00598154_0.0725915,0.00538436_0.000706744,0.00538436,0.00598154_0.000706744_1.26477e-10,0.00145198,0.0392805_2.10689e-05_0.118473,0.00538436,0.00538436,0.446379_0.102856_0.774646,0.25465,0.00538436,0.907855,,1,1.0_0.999975_0.931432,1,,1.0_0.891715,0.574935_4.47525e-05,0.00598154,0.00259183,0.00538436_0.000706744,0.00673225_0.00176147,0.00902011,,,0.000483393_0.000193824_1.69652e-10_0.2088,0.00171723_0.0529618_6.1288e-08_0.15159,0.576146_0.21651_0.430735,0.00598154_0.000564412,0.00538436,0.00489763,0.00489763_0.000771955,0.00673225,0.00598154_0.000706744,0.00271863,0.00449308_0.143409,,,0.0734649_5.45154e-08,,,0.00318817,0.00598154,0.76143,,0.00360538_0.000604932_1.85438e-10_0.2088,0.0545787,0.00598154_0.00407452
0.00449308_0.000604932,,0.00598154,,0.797343,,,1,,,,0.0332525,0.06142,0.00489763_0.000706744_8.0302e-11,0.00157337_0.000706744_2.94752e-10_0.173892,,0.00598154_0.000771955,0.00153068_0.000470251,,0.249941,0.00385878_0.000850687,0.0077056,0.331959_0.0260147,0.0560966,0.00104921,0.00598154_0.0664305,0.00598154_0.0568543_5.45154e-08,0.00598154,0.00489763,0.00318817,0.00489763,,0.00489763_0.00176147,0.000728245,0.00538436,0.199709,0.00271863_0.000283046,0.00489763_0.000564412_0.0955969,0.00360538_0.106322,0.122283_0.126339_0.304136,0.268173_0.212601,0.391224_0.375363,0.0734649,0.18598,,0.00598154_0.000706744_8.37038e-11,,,0.000347001,,0.000254242,0.00195642_0.000706744,0.00598154,0.00598154,0.00538436_0.000651827_2.56981e-10,0.00598154,0.0077056,0.0018905,0.0668595_4.90894e-08,0.116409_0.155528,,0.00271863_0.000706744_1.06161e-10,0.00285872,,,,1,1.0_0.999971_0.925933,1,0.84374_0.103896,,,,0.00538436_0.000564412,,0.00489763_0.000124323,0.00060536_0.00144756,0.00489763,,0.22032,0.736286,0.00271863,,,0.00598154_0.000651827,0.00227448_0.000651827,,0.00171723_0.0568543_0.152727,0.170671_0.12808_0.522178,0.51619_0.284898,,0.0568543,0.00489763_0.0816808_6.1288e-08,0.00415136,0.00149028_0.000564412_2.04438e-10_0.160458_0.00267096,,0.00489763_0.000850687,0.0204299_5.45154e-08,0.00538436,0.00538436
,0.000429443_0.000564412,0.00538436,,0.00182893_0.4008,0.736286,0.99109_0.659228,,0.994859_1.0,0.993501,0.765739,0.00054256_0.00144756_1.85438e-10_0.0540185,0.00285872_0.154911,,0.00673225_0.000771955,0.00598154_0.000706744,0.00598154_0.000529042,0.00598154_0.000339112,0.00489763_0.00144756_0.122005,0.0209245,0.00598154,0.000216427_2.10689e-05_0.118473_1.05869e-05,0.06142,0.06142,0.00538436_0.000706744_3.19885e-11,0.00598154,0.00538436_0.00176147_0.314217_0.0762326,0.00673225_0.000564412_2.75024e-11,0.000994259_0.000604932_1.56329e-10,,0.00598154,,0.00161853,0.00673225_6.70372e-05,0.00673225,0.18598_0.173783,0.00489763,0.00318817,,0.115588,0.373753_0.246042_0.490107_0.641091,0.626802_0.0659559_0.7905_0.290224_0.104652,0.139778,0.00538436_0.143409_0.0548476,0.06142_6.1288e-08,0.00598154_0.140447_6.73839e-09,0.00338373_0.00176147,0.00489763_0.00144756,0.00145198_0.00144756,0.00598154,0.00538436_0.00176147,0.00598154,0.00489763,0.00538436,,0.281546,0.00171723_0.000706744,0.00489763,0.00285872_0.106322_0.229635,,,,0.00117985_0.0668595_0.716558,1.0_0.648121,1.0_0.999991,,,1.0_0.999971,1,0.717212_0.445249,0.00538436_0.000771955,0.00449308,,0.00385878_0.00176147_2.04438e-10_0.232047,,0.00489763,0.000631992,0.00902011_0.000651827,,0.549037_0.308876,0.469006_0.0659559_4.90894e-08,0.0077056,0.00153068,,0.00318817,0.00449308,0.00153068_0.000706744_1.69652e-10,0.00415136,0.631762,0.875981,0.0629933,,0.00259183,0.00598154,0.000537495,,,0.0668595,0.0319674,0.00673225
0.31523_4.04471e-06,0.00902011_0.00176147,0.00598154,0.06142,0.00598154_0.270054_0.457055,,0.985648_0.780364_0.851702,0.996194_1.0_1.0,1.0_0.891715,,,0.00247649,0.0417757,,,0.00360538_0.000651827_9.14471e-11,0.00489763_0.000706744,0.00598154_0.00144756,,,0.0576777_1.00341e-05,0.000586824,,,0.000977211_0.000706744,,,,,0.00902011,0.00415136_0.00176147_1.85438e-10,0.00538436,0.00149028_0.000706744_2.04438e-10_0.0229037,0.00227448_0.000771955_1.44936e-10_0.040551,0.00673225_0.161905,0.116464,0.120845,0.00673225,0.281546_0.0847341,,,0.0734649,,0.0668595_1.06954e-08,0.321774,,0.00598154,0.00195642_0.000706744,0.00673225,0.00489763_0.00176147_9.58789e-11,0.00598154,0.104138,0.06142_6.1288e-08_0.106667_1.05869e-05_0.000394806,0.0077056,,,0.00598154,0.00360538,0.00489763_0.106322_4.90894e-08,,0.0668595,,0.00598154,1,1.0_0.999975,1,,1.0_0.999982,,0.574935_2.84089e-05,,,0.00449308_0.000339112,,0.00138106,0.00902011,,,,0.492596,0.0734649_0.149862,0.00134816,,,0.00449308_0.00032617,,0.0209245,,0.574935_0.155528,0.469543,,0.00598154,0.00538436_0.00176147_1.69652e-10_0.0628465,,0.00489763,0.00598154_0.000368385,0.00489763_0.000771955,,,0.00489763
0.0734649,0.00489763_0.00176147_2.27739e-10_0.232047,0.00271863_0.000706744_9.14471e-11,0.0077056_0.000651827,0.0440759_0.167553_0.288649_0.361646,0.674641_0.344246,0.906464,0.879289_0.9426_0.987632,1.0_0.589969,0.981866,0.437579,,0.00538436_0.000604932_2.04438e-10,0.00489763,,0.00489763_0.000423342,,,0.0077056_0.106322,,0.0822627,,0.104138,0.00415136,0.00902011_0.000604932,0.00598154_0.0440759,,0.00237112,0.00489763,0.00598154,0.00259183_0.000423342,0.00598154_0.000651827,0.00060536_0.000706744_1.56329e-10,0.00598154_0.000706744_2.04438e-10_0.079894,,,0.00598154_5.52119e-05,,,0.321774_0.113955_6.1288e-08_0.0609567_0.17542,0.992861,0.616393,0.00259183_0.294711,0.469543,0.186182_0.0965977_0.233982,,0.00237112_0.000470251_2.27739e-10_0.2088,0.00237112,0.00489763_0.000651827_2.04438e-10_0.2088_3.84127e-08_1.71913e-13,,0.00489763_0.000771955_2.04438e-10_0.0317704,0.00318817_0.000706744,,0.00271863_0.000604932,,,0.00598154,0.00285872_0.00107021_5.54609e-11,0.06142_6.1288e-08,0.295423,0.115588,0.00489763,,0.736286_0.592653_1.0,1.0_0.999977_0.936147,1,1,1,0.897542_0.718103,0.659081_5.27129e-05,0.00598154,0.00285872,0.00538436_0.000604932_6.45442e-11,0.00489763,0.00090012,0.00598154,0.00902011,0.00449308_0.00176147_9.14471e-11,0.00157337,0.395374_0.267976,0.0668595_6.83202e-09,0.00538436,0.0348812,,0.00385878,0.00237112_0.000706744,0.000668799,,0.549037,,0.544381_0.0345433,,,0.00673225,,0.0021855_0.000604932_2.56981e-10_0.2088,0.00449308,0.0668595_5.45154e-08,0.0319674,0.00415136_0.000706744_8.74051e-11
,,0.00598154,,0.0495998_5.45154e-08_0.469156,0.731476_0.317316,0.989814_0.212805,,1.0_0.720762,0.697894,,0.00489763_0.00176147_0.0383835,,0.00489763_0.000706744_2.35378e-11,,0.00360538,0.00259183_0.000706744,0.00489763_0.000706744_1.69652e-10,0.00673225_0.270054,,,0.00538436_0.00176147,0.06142_5.45154e-08_0.118817,0.00489763,,0.00598154,0.00385878_0.000706744_1.85438e-10,0.00449308,0.00247649,0.00489763_0.00144756_1.56329e-10_0.173892_1.77765e-08,,0.00489763,0.00489763_0.000651827,0.00673225,0.00598154_0.00144756,0.151019_3.11936e-05_0.118473_9.55468e-06,,0.00259183_0.000470251_2.27739e-10,,0.321774_0.14268_0.412922_0.080227,,,0.00538436_0.143409,0.00247649,,0.00538436,0.00598154_0.00144756_2.27739e-10_0.2088,0.00538436,0.00489763_0.000706744_2.94752e-10_0.347761_0.133967,,0.00902011,,,0.00538436_0.00144756_2.04438e-10_0.115678,,0.06142_3.51057e-08,0.0077056_0.00144756,,,,0.317706,0.00111066,0.0361816_0.149862,0.621345,0.97957_0.999213_1.0,1.0_0.999971,1,1.0_0.999973_0.961861,,,0.00171723_0.000706744_2.94752e-10,,0.00360538_0.000771955,0.00673225,,0.00489763_0.000604932_0.00599266,0.00301432,0.00673225,0.0252402_6.1288e-08,,,0.00598154,0.00538436_0.000470251,0.00598154_0.00144756_1.69652e-10_0.109553,0.00449308,0.00227448_0.000706744_1.69652e-10,0.00385878_0.000771955,0.000872613_0.00176147_0.147762,0.391224,,,,,0.00247649,,0.00259183,0.00103022,0.0568543,,0.0077056
0.443799_0.19807,0.00598154_0.000423342,,0.00598154,0.0018905_0.387599,0.470489,,,0.676768,0.793362_0.578889_0.566169,0.546613_0.131945,,0.0417757_6.1288e-08,0.00538436,,0.00385878,0.00271863_0.000564412,0.00673225,0.00538436_0.0568543_4.90894e-08,0.00538436_0.000651827,0.0016664_0.00144756_1.69652e-10,0.0417757,,0.00489763,0.000269581_0.000651827,0.00161853_0.000403266_0.13668,0.12819_2.41635e-05_0.0667033_9.55468e-06_0.000445377,0.00875417,0.00538436_0.000403266,,0.0077056_0.000850687,0.00338373,,0.00598154_0.00144756_1.43137e-08,,0.0529618,,0.00259183,0.249941,0.00902011_0.220384,0.469543_0.408478,,0.0668595_6.1288e-08_0.270161_2.99058e-08,,,0.3407,0.00247649,,,,0.0077056,0.00673225,,0.00598154,0.00673225_0.000771955,0.00538436_0.00144756,,0.00385878_0.00032617,0.00385878_0.000771955,0.129703_0.035433_0.1872_0.196425,,,0.517293,0.989814,1.0_0.999973_0.931432_1.0,1,1,1.0_0.999973_0.925933,1.0_0.639774,,0.00271863_0.000706744,0.00598154,,,,,0.00385878_0.00123004,0.00598154_0.000445549,0.00259183,,0.0816808_0.149862_0.0561635,0.00115583,,0.00060536_0.000423342,0.00237112,0.00489763_0.000604932,0.00449308,0.00195642,,0.777193,,0.00301432_0.000651827,0.0378619,,0.000661095_0.000353137,0.00360538_0.000771955,0.00259183_0.00107021,,0.00227448,0.00598154
